Afrikaans-AfriBooms afr
Albanian-TSA sqi
Arabic-PADT ara
Armenian-ArmTDP hye
Basque-BDT eus
Belarusian-HSE bel
Breton-KEB bre
Bulgarian-BTB bul
Catalan-AnCora cat
Chinese-GSD zho
Chinese-GSDSimp zho-simp
Classical_Chinese-Kyoto lzh
Coptic-Scriptorium cop
Croatian-SET hrv
Czech-PDT ces
Danish-DDT dan
Dutch-LassySmall nld
English-EWT eng
Estonian-EDT est
Finnish-TDT fin
French-Sequoia fra
Galician-CTG glg
German-HDT deu
Greek-GDT ell
Hebrew-HTB heb
Hindi-HDTB hin
Hungarian-Szeged hun
Indonesian-GSD ind
Irish-IDT gle
Italian-ISDT ita
Japanese-GSD jpn
Kazakh-KTB kaz
Korean-Kaist kor
Kurmanji-MG kmr
Latin-PROIEL lat
Latvian-LVTB lav
Lithuanian-ALKSNIS lit
Maltese-MUDT mlt
Marathi-UFAL mar
Naija-NSC pcm
North_Sami-Giella sme
Norwegian-Bokmaal nob
Norwegian-Nynorsk nno
Old_Church_Slavonic-PROIEL chu
Old_French-SRCMF fro
Old_Russian-TOROT orv
Persian-Seraji fas
Polish-PDB pol
Portuguese-GSD por
Romanian-Nonstandard ron
Russian-SynTagRus rus
Serbian-SET srp
Slovak-SNK slk
Slovenian-SSJ slv
Spanish-AnCora spa
Swedish-Talbanken swe
Tamil-TTB tam
Telugu-MTG tel
Thai-PUD tha
Turkish-IMST tur
Ukrainian-IU ukr
Urdu-UDTB urd
Uyghur-UDT uig
Vietnamese-VTB vie
Welsh-CCG cym
Wolof-WTB wol
Scottish_Gaelic-ARCOSG gla
